PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
07OCR,7r/6pp/pk1bB3/1p6/3p4/3n4/PPRB1PPP/6K1 b - - 11 27,h8e8 e6d7 e8e2 d2a5 b6a5 c2e2,2059,81,79,44,advantage discoveredAttack endgame long,https://lichess.org/BQlsBNa8/black#54,
07Q0M,6rk/2P3rp/1P6/2p2p2/P4n2/8/3R2B1/7K b - - 0 42,f4g2 d2d8 g2e3 d8g8 g7g8 b6b7,2191,79,86,367,advancedPawn crushing endgame long,https://lichess.org/nuMxCMyr/black#84,
07QNR,8/2p3B1/2r3P1/8/8/3k4/p3pK2/4R3 w - - 0 52,g7b2 c6g6 e1e2 g6g2 f2g2 d3e2,2081,75,96,911,crushing deflection endgame exposedKing long,https://lichess.org/Ii0lWZAo#103,
07QhY,2r1k2r/pp3p2/q1n1ppp1/3p4/1b1NP3/2N2P1P/PPPQ2P1/1K1R3R b k - 0 17,d5e4 d4e6 f7e6 d2d7 e8f8 d7c8,2101,81,77,59,clearance crushing fork long middlegame sacrifice,https://lichess.org/JQ5jjtLC/black#34,Richter-Veresov_Attack Richter-Veresov_Attack_Richter_Variation
07QnT,5rk1/R5p1/4p2p/4n3/4N1PK/8/P6P/8 w - - 0 36,h2h3 f8f3 g4g5 f3f4 h4g3 f4e4,2123,78,90,933,crushing endgame fork long master,https://lichess.org/bkmYqSs0#71,
07R2h,3q2k1/1Q2rpb1/3Pn2p/2P3p1/8/P5P1/1P4BP/3R2K1 w - - 1 36,d6e7 d8d1 g2f1 g7d4 g1g2 e6f4 g3f4 d1g4 g2h1 g4g1,2037,76,96,2557,endgame hangingPiece mate mateIn5 veryLong,https://lichess.org/g7P5S6O1#71,
07REZ,1k1r1bnr/pbp1q1p1/1p5p/4P3/QpP5/3PB1P1/P5BP/RN1R2K1 w - - 6 19,a2a3 e7e5 e3b6 c7b6,2052,78,88,438,crushing fork middlegame short,https://lichess.org/mNrVo1UL#37,Zukertort_Opening Zukertort_Opening_The_Walrus
07RZ1,6k1/6p1/p5qp/1p1P4/1Pp1pp2/P1P4P/4QPP1/6K1 w - - 0 32,d5d6 f4f3 e2f1 g6d6,2025,75,86,275,crushing endgame master queenEndgame short,https://lichess.org/n6nN5JXe#63,
07SAP,8/p3R1pk/1p3n1p/7P/1BPr1pP1/P7/5P2/2K5 w - - 1 30,b4c3 d4c4 c1b2 c4c3 b2c3 f6d5 c3c4 d5e7,2024,76,94,6855,advantage attraction endgame exposedKing fork pin veryLong,https://lichess.org/U36Gcu66#59,
07SmH,4r2k/p4p1p/5Pp1/2P3P1/2q4r/R4Q2/3B1R2/5K2 w - - 3 40,f2e2 e8e2 f3e2 h4h1,2049,78,35,75,crushing master middlegame short,https://lichess.org/N8W665St#79,
07TBM,r7/Rp1k1p2/1nq1p2p/1N1pP2P/2nP4/5Q2/4BP2/7K b - - 2 36,c6b5 f3f7 d7d8 a7b7,2064,89,90,1094,crushing middlegame short,https://lichess.org/r1ylMYlz/black#72,
07Tm5,8/8/p7/8/P2K4/8/8/4k3 b - - 0 53,e1d2 a4a5 d2e2 d4c5 e2e3 c5b6 e3d4 b6a6 d4c5 a6b7,2112,89,90,379,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/yjO4V6KQ/black#106,
07U8z,r2q2rk/5pp1/p2p1n1p/2pPpPRN/2p1P2P/4QP2/PP6/2K3R1 b - - 1 24,f6h5 g5h5 d8f6 g1g6 f6g6 f5g6,2105,76,94,2741,advantage long middlegame,https://lichess.org/TpHkC4rT/black#48,
07USS,2r1kb1r/pR3pp1/2n1p1p1/1Qpp2B1/4qPP1/7P/P3B3/4KR2 b k - 1 18,h8h3 b7b8 e8d7 b8c8 e4b4 b5b4,2139,76,95,626,advantage long middlegame pin,https://lichess.org/Xp35GImV/black#36,Queens_Pawn_Game Queens_Pawn_Game_Torre_Attack
07W2i,q4rk1/1b1Q1ppp/1b6/4B3/P7/1P4P1/4PP1P/2R2RK1 w - - 1 24,d7b5 b7h1 c1c6 a8c6 b5c6 h1c6,2070,81,91,1627,advantage long middlegame quietMove,https://lichess.org/Q2oiFLyo#47,
07WLr,7r/2p1kppp/2Q5/2b2b2/4p3/2P1qPB1/Pr2N1PP/3RK2R w K - 1 23,c6c7 e7f6 d1d6 c5d6 c7d6 f5e6 d6d4 e3d4,2054,76,92,191,crushing defensiveMove middlegame veryLong,https://lichess.org/vjas7pFR#45,
07Whv,1k3r2/7b/p1Pr3p/1p1N2p1/2P1pp2/8/P5PP/3R1RK1 b - - 0 29,b5c4 d1b1 b8c8 d5e7 c8d8 b1b7,2123,239,70,6,crushing defensiveMove endgame exposedKing long,https://lichess.org/EdYODWsZ/black#58,
07X4I,6k1/2p2r2/1p5p/6p1/1P2Rr2/2P3NP/3n1PP1/5RK1 w - - 1 36,e4f4 g5f4 f1d1 f7d7 g3e4 d2f3 g1f1 d7d1,2187,84,100,52,advantage discoveredAttack endgame quietMove veryLong,https://lichess.org/QMgR7cm1#71,
07X9J,r1b2r2/ppp1k1p1/1b1p1nqp/4p3/4P3/1BPPB2P/PP3PP1/RN1Q1RK1 w - - 3 14,g1h2 f6g4 h3g4 c8g4 e3b6 g4d1,2105,95,86,386,crushing long middlegame sacrifice,https://lichess.org/hpBYnOvS#27,Italian_Game Italian_Game_Two_Knights_Defense
